point,date,time,first_det,song,distance
1201,6/28/2014,446,9,0,30
1201,6/9/2014,485,7,1,75
1201,6/9/2014,485,8,1,85
1201,5/31/2012,443,4,1,90
1201,6/18/2013,368,0,1,35
1201,6/26/2014,441,0,1,90
1201,7/15/2014,463,8,1,25
1201,6/28/2014,446,0,1,85
1201,6/30/2012,409,0,1,15
1201,6/30/2012,409,0,1,20
1201,5/31/2012,443,7,1,40
1201,6/18/2012,486,5,1,35
1202,7/7/2013,531,0,1,35
1202,7/7/2013,531,0,1,90
1202,6/18/2013,359,0,1,40
1202,6/30/2012,387,8,0,25
1202,6/26/2014,472,0,1,65
1202,6/26/2014,472,0,1,70
1202,6/18/2012,514,2,1,45
1202,6/28/2014,419,1,1,80
1202,6/26/2014,472,0,1,45
1203,6/18/2013,469,0,1,70
1203,7/7/2013,480,0,1,35
1203,6/26/2014,492,0,1,75
1203,6/26/2014,492,0,1,50
1203,6/18/2012,535,4,1,95
1203,6/26/2014,492,3,1,45
1203,6/28/2014,396,9,0,55
1203,5/31/2012,396,0,1,80
1203,6/18/2012,535,9,0,45
1203,6/30/2012,553,0,1,40
1203,7/15/2014,414,0,1,85
1203,6/9/2014,433,0,1,80
1203,6/30/2012,553,5,1,70
1203,6/9/2014,433,9,0,65
1203,6/28/2014,396,0,1,95
1203,7/7/2013,480,0,1,45
1203,6/28/2014,396,0,1,65
1203,6/2/2013,496,9,0,40
1203,5/31/2012,396,0,1,30
1203,6/2/2013,496,5,1,35
1204,5/31/2012,374,0,1,60
1204,5/31/2012,374,0,1,90
1204,6/26/2014,518,0,1,65
1204,6/18/2013,547,0,1,95
1204,6/18/2012,557,0,1,70
1204,6/2/2013,469,2,1,60
1204,6/18/2012,557,0,1,60
1204,7/15/2014,393,2,1,40
1204,6/26/2014,518,0,1,65
1204,6/2/2013,469,0,0,40
1204,6/28/2014,377,4,1,85
1204,7/7/2013,381,0,1,70
1204,7/7/2013,381,0,1,30
1204,7/7/2013,381,0,1,50
1205,6/2/2013,381,0,1,60
1205,6/28/2014,358,1,1,85
1205,6/2/2013,381,0,1,70
1205,7/15/2014,373,4,0,2
1206,7/2/2012,500,0,1,20
1206,7/2/2012,500,1,0,25
1206,6/20/2012,582,0,1,20
1206,7/4/2014,535,2,1,65
1206,7/4/2014,535,0,1,80
1206,6/19/2014,525,0,1,85
1206,7/5/2013,381,4,0,35
1207,6/19/2014,504,0,1,70
1207,7/2/2012,483,0,1,35
1207,6/3/2013,557,0,1,60
1207,7/2/2012,483,0,0,60
1207,7/5/2013,386,0,1,40
1207,7/2/2012,483,0,1,25
1207,7/4/2014,515,0,1,45
1207,6/20/2012,560,0,1,25
1207,7/5/2013,386,0,1,70
1207,7/5/2013,386,0,1,80
1207,7/2/2012,483,4,1,90
1207,6/4/2012,402,3,0,50
1207,6/20/2012,560,0,1,30
1207,6/20/2012,560,2,1,80
1208,6/3/2014,406,0,1,70
1208,7/5/2013,408,0,1,20
1208,7/2/2012,460,0,1,40
1208,6/3/2014,406,0,1,55
1208,6/20/2012,531,8,1,45
1208,6/20/2012,531,0,1,65
1208,7/4/2014,490,2,1,65
1208,7/5/2013,408,7,1,80
1208,7/5/2013,408,6,0,50
1208,6/19/2014,478,0,1,50
1209,6/4/2012,474,0,1,75
1209,6/20/2012,483,0,1,60
1209,6/4/2012,474,0,1,40
1209,7/2/2012,425,3,1,35
1209,6/20/2012,483,7,0,20
1210,7/4/2014,415,0,1,60
1210,6/3/2013,506,2,1,65
1210,6/4/2012,499,0,1,85
1211,7/4/2014,395,0,1,90
1211,7/5/2013,429,8,0,35
1211,6/18/2014,465,6,0,35
1211,6/4/2012,526,NA,1,40
1211,6/4/2012,526,1,1,95
1211,6/4/2012,526,0,1,50
1212,7/5/2013,409,0,1,85
1212,7/4/2014,377,0,1,50
1212,6/4/2012,546,0,1,55
1212,7/5/2013,409,7,0,45
1212,6/18/2014,446,3,1,65
1212,6/4/2012,546,6,0,55
1213,7/4/2014,525,2,1,70
1213,7/5/2013,390,0,1,90
1213,7/5/2013,390,0,1,55
1213,6/4/2012,565,8,1,100
1213,6/3/2014,492,6,1,90
1213,6/4/2012,565,8,0,50
1213,7/2/2012,498,2,1,85
1214,6/4/2012,391,6,1,90
1214,6/4/2012,391,0,1,65
1214,6/3/2014,509,0,1,90
1215,6/20/2012,483,0,1,70
1215,6/3/2014,413,0,1,85
1215,6/4/2012,476,0,1,100
1215,6/4/2012,476,0,1,70
1216,6/3/2014,396,0,1,70
1217,6/19/2013,441,0,1,95
1217,6/3/2014,526,6,1,90
1218,6/4/2012,584,0,1,60
1218,6/18/2014,370,0,1,55
1218,6/4/2012,584,1,1,75
1218,6/3/2014,543,0,1,80
1218,6/19/2014,485,0,1,40
1218,7/5/2013,370,0,1,70
1218,6/4/2012,584,1,1,80
1218,6/19/2013,538,7,1,40
1218,6/20/2012,374,0,1,65
1218,6/20/2012,374,0,1,65
1224,6/29/2014,367,0,1,65
1224,7/1/2012,394,0,1,50
1224,6/29/2014,367,0,1,80
1224,6/17/2013,483,0,1,50
1224,7/16/2014,383,0,1,45
1224,7/1/2012,394,0,1,60
1224,7/1/2012,394,0,1,75
1224,6/13/2014,374,0,1,90
1224,6/27/2014,520,0,1,80
1224,6/17/2013,483,0,1,70
1224,7/2/2013,503,0,1,60
1224,6/27/2014,520,0,1,30
1224,7/2/2013,503,0,1,80
1224,6/17/2013,483,0,1,95
1224,6/18/2012,385,0,1,50
1224,6/29/2014,367,0,1,45
1224,6/17/2013,483,0,1,25
1224,5/30/2013,413,0,1,40
1224,6/17/2013,483,1,1,60
1224,5/30/2013,413,0,1,50
1224,7/16/2014,383,0,1,70
1224,6/18/2012,385,0,1,20
1224,6/13/2014,374,0,1,85
1224,7/2/2013,503,0,1,90
1224,7/2/2013,503,0,1,80
1225,6/27/2014,472,0,1,80
1225,6/27/2014,472,0,1,20
1225,5/30/2013,403,1,1,80
1225,6/18/2012,404,0,1,70
1225,6/27/2014,472,0,0,10
1225,6/2/2012,488,0,1,35
1225,7/16/2014,394,0,1,80
1225,5/30/2013,403,0,1,45
1225,6/17/2013,478,0,1,70
1225,7/16/2014,394,0,0,15
1225,6/18/2012,404,2,1,30
1225,7/2/2013,505,3,1,100
1225,6/17/2013,478,0,1,45
1225,7/2/2013,505,0,1,70
1225,6/29/2014,370,0,1,25
1225,7/2/2013,505,0,1,100
1225,6/18/2012,404,9,0,55
1226,6/29/2014,376,0,1,30
1226,6/18/2012,366,5,1,90
1226,7/16/2014,387,0,1,15
1226,6/18/2012,366,0,1,50
1226,6/13/2014,375,3,1,45
1226,7/16/2014,387,7,0,35
1226,7/2/2013,521,0,1,35
1226,6/29/2014,376,0,1,75
1226,7/16/2014,387,0,1,30
1226,6/18/2012,366,0,1,75
1226,5/30/2013,388,0,1,35
1226,6/13/2014,375,0,1,95
1226,7/16/2014,387,7,0,50
1226,6/13/2014,375,7,1,35
1226,7/1/2012,373,0,1,45
1226,6/2/2012,531,1,1,85
1226,7/2/2013,521,0,1,40
1227,7/1/2012,365,0,1,80
1227,7/2/2013,367,0,1,85
1227,7/1/2012,365,0,1,35
1227,6/17/2013,448,0,1,90
1227,6/18/2012,481,0,1,40
1227,6/11/2014,396,6,1,50
1227,6/2/2012,398,0,1,70
1227,7/13/2014,518,0,1,80
1227,7/2/2013,367,0,1,95
1227,6/18/2012,481,0,1,40
1227,7/2/2013,367,1,0,25
1227,6/2/2012,398,4,1,90
1228,6/17/2013,473,0,1,50
1228,5/30/2013,410,1,1,45
1228,7/1/2012,358,0,1,20
1228,6/17/2013,473,0,0,30
1228,6/17/2013,473,0,1,30
