nestID,plot,year,fate,clutch.completion,fledgefail,eggs,fledged,BHCO.eggs,GPS.E,GPS.N
111,Sulphur Creek,2011,failed: pred,5/6/2011,5/13/2011,4,0,0,522338,4304387
112,Owen-Putnam State Forest,2011,failed: pred,5/16/2011,5/25/2011,3,0,0,512266,4352319
113,Owen-Putnam State Forest,2011,failed: pred,5/4/2011,5/21/2011,4,0,0,512135.791,4352490.802
115,Sulphur Creek,2011,failed: pred,5/5/2011,5/19/2011,3,0,0,522524,4304227
116,Sulphur Creek,2011,failed: pred,5/9/2011,5/13/2011,4,0,0,522617,4304258
117,Sulphur Creek,2011,failed: pred,5/12/2011,5/30/2011,5,0,0,522585,4303759
118,Area 7,2011,failed: pred,5/5/2011,5/21/2011,3,0,0,635243,4321017
119,Area 58,2011,FLEDGED,5/7/2011,5/31/2011,4,3,1,634078,4300740
1110,Owen-Putnam State Forest,2011,FLEDGED,5/24/2011,6/7/2011,4,3,0,512104,4352364
1112,McCormick's Creek State Park,2011,failed: pred,5/9/2011,5/25/2011,4,0,1,524695,4350486
1113,McCormick's Creek State Park,2011,FLEDGED,5/1/2011,5/25/2011,5,2,1,524499.1209,4350558.548
1114,McCormick's Creek State Park,2011,failed: unknown,5/6/2011,5/29/2011,4,0,0,524573,4350337
1115,McCormick's Creek State Park,2011,FLEDGED,5/8/2011,6/1/2011,4,4,2,524277,4350126
1116,Owen-Putnam State Forest,2011,assumed fledged,5/8/2011,6/5/2011,3,2,0,512609,4352871
1117,McCormick's Creek State Park,2011,FLEDGED,5/10/2011,6/3/2011,3,2,1,524375,4350523
1118,First Creek,2011,assumed fledged,5/15/2011,6/8/2011,4,2,1,508605,4302682
1119,McCormick's Creek State Park,2011,failed: pred,5/8/2011,5/25/2011,4,0,0,534292,4349948
1146,East Bogs,2011,FLEDGED,5/8/2011,5/31/2011,4,3,0,513931,4293270
1120,First Creek,2011,failed: pred,5/4/2011,5/20/2011,1,0,3,508568,4302620
1121,McCormick's Creek State Park,2011,FLEDGED,5/9/2011,6/3/2011,4,3,2,524378,4350741
1122,McCormick's Creek State Park,2011,FLEDGED,5/8/2011,6/1/2011,4,4,0,524337.5809,4350309.556
1123,McCormick's Creek State Park,2011,failed: pred,5/4/2011,5/7/2011,4,0,0,524385,4350421
1124,McCormick's Creek State Park,2011,failed: pred,5/10/2011,5/15/2011,4,0,0,524487.7299,4350209.089
1125,Sulphur Creek,2011,failed: unknown,5/12/2011,5/12/2011,4,0,0,522278,4303804
1126,East Bogs,2011,failed: pred,5/9/2011,5/29/2011,4,0,0,514032,4293301
1127,Area 7,2011,failed: pred,5/3/2011,5/13/2011,4,0,1,635273,4321283
1128,Area 7,2011,FLEDGED,5/11/2011,6/2/2011,3,2,0,635403,4321329
1129,Area 7,2011,failed: abandoned,5/8/2011,5/9/2011,1,0,0,635398,4321467
1130,Area 7,2011,failed: pred,5/11/2011,5/11/2011,4,0,0,635383,4321591
1131,Area 7,2011,failed: pred,5/13/2011,5/31/2011,4,0,0,635442,4321173
1132,Area 58,2011,failed: pred,5/15/2011,5/29/2011,4,0,3,634136,4300660
1133,Area 58,2011,failed: pred,5/8/2011,5/26/2011,4,0,1,633907,4300590
1134,Area 27,2011,failed: pred,5/11/2011,5/15/2011,4,0,1,640548,4317953
1135,Area 27,2011,failed: pred,5/10/2011,5/19/2011,4,0,2,641019,4318151
1136,Area 27,2011,failed: pred,5/12/2011,5/19/2011,4,0,0,641135,4318151
1137,Area 27,2011,failed: pred,5/11/2011,5/12/2011,3,0,2,640666,4318057
1138,Area 27,2011,failed: pred,5/10/2011,5/12/2011,3,0,1,640538,4317846
1139,Spring Mill State Park,2011,assumed fledged,5/9/2011,6/2/2011,1,1,3,549478,4286473
1140,Spring Mill State Park,2011,failed: pred,5/9/2011,5/17/2011,4,0,1,549737,4286744
1141,Spring Mill State Park,2011,failed: pred,5/11/2011,5/12/2011,4,0,0,549601,4286554
1142,East Bogs,2011,failed: pred,5/11/2011,5/22/2011,4,0,0,514712,4293769
1143,Seed Tick,2011,failed: pred,5/15/2011,6/6/2011,1,0,1,510792,4290075
1144,East Bogs,2011,failed: pred,5/9/2011,5/19/2011,4,0,0,514147,4293222
1145,Seed Tick,2011,failed: unknown,5/14/2011,5/14/2011,3,0,1,510399,4289790
1147,Area 27,2011,failed: pred,5/8/2011,5/12/2011,3,0,1,640667,4318217
1148,Area 27,2011,failed: pred,5/9/2011,5/19/2011,4,0,0,640169,4317866
1149,Area 7,2011,assumed fledged,5/15/2011,6/7/2011,3,1,0,634972,4321021
1150,Area 41,2011,FLEDGED,5/8/2011,5/31/2011,4,2,2,641217,4310485
1152,Area 41,2011,failed: pred,5/12/2011,5/15/2011,3,0,1,641312,4310656
1153,Owen-Putnam State Forest,2011,FLEDGED,5/10/2011,6/2/2011,4,3,0,512400,4352772
1154,Owen-Putnam State Forest,2011,failed: pred,5/13/2011,5/22/2011,4,0,0,512861.7482,4352860.932
1155,Martin State Forest,2011,failed: pred,5/9/2011,5/23/2011,3,0,1,512405,4313485
1156,Martin State Forest,2011,failed: pred,5/13/2011,5/29/2011,1,0,4,512490,4313508
1157,McCormick's Creek State Park,2011,failed: pred,5/11/2011,5/15/2011,0,0,1,524197,4350480
1158,McCormick's Creek State Park,2011,failed: pred,5/11/2011,5/11/2011,4,0,0,524449,4350801
1159,Area 7,2011,failed: pred,5/12/2011,5/16/2011,4,0,0,635158,4321530
1160,Area 7,2011,failed: pred,5/13/2011,6/6/2011,4,0,1,635378,4321620
1162,Area 58,2011,failed: pred,5/16/2011,5/23/2011,4,0,0,633839,4300763
1163,Area 27,2011,failed: pred,5/14/2011,6/2/2011,4,0,0,640441,4318153
1164,Area 41,2011,failed: pred,5/14/2011,5/23/2011,4,0,0,640820,4310201
1165,Area 27,2011,failed: abandoned,5/11/2011,5/15/2011,4,0,0,640571,4317859
1166,Area 27,2011,FLEDGED,5/14/2011,6/7/2011,4,2,1,640731,4317908
1167,Sulphur Creek,2011,failed: pred,5/14/2011,5/19/2011,3,0,1,522439,4304119
1168,Sulphur Creek,2011,FLEDGED,5/12/2011,6/5/2011,4,4,1,522272,4303914
1169,Sulphur Creek,2011,failed: pred,5/10/2011,5/19/2011,3,0,0,522720,4304282
1170,East Bogs,2011,failed: pred,5/12/2011,5/16/2011,4,0,0,514512,4293377
1171,Spring Mill State Park,2011,assumed fledged,5/7/2011,5/31/2011,3,3,1,549838,4286632
1172,Spring Mill State Park,2011,assumed fledged,5/9/2011,5/31/2011,3,2,2,550241,4286583
1173,Spring Mill State Park,2011,failed: pred,5/11/2011,5/26/2011,3,0,2,549604,4286482
1174,Owen-Putnam State Forest,2011,failed: unknown,5/11/2011,5/17/2011,4,0,0,512520,4352929
1175,Owen-Putnam State Forest,2011,failed: pred,5/20/2011,5/29/2011,4,0,0,512742.5673,4352411.178
1176,Owen-Putnam State Forest,2011,failed: pred,5/18/2011,5/31/2011,4,0,0,512369,4352682
1177,Owen-Putnam State Forest,2011,failed: pred,5/9/2011,5/31/2011,4,0,0,512364,4352532
1178,Owen-Putnam State Forest,2011,failed: pred,5/15/2011,5/22/2011,3,0,1,512586,4352340
1179,East Bogs,2011,assumed fledged,5/15/2011,6/8/2011,3,2,0,513902,4293360
1181,First Creek,2011,failed: pred,5/11/2011,5/27/2011,1,0,4,508391,4301880
1182,Area 27,2011,failed: pred,5/12/2011,5/18/2011,4,0,2,641142,4318054
1183,Area 27,2011,force fledged,5/13/2011,6/6/2011,4,4,0,640217,4318164
1184,Area 27,2011,failed: pred,5/14/2011,6/6/2011,2,0,0,640598,4317860
1186,Area 7,2011,failed: pred,5/18/2011,6/1/2011,3,0,0,635304,4321414
1187,Owen-Putnam State Forest,2011,failed: pred,5/16/2011,6/6/2011,4,0,1,512487.3488,4352314.991
1188,Area 7,2011,failed: pred,5/12/2011,6/1/2011,4,0,1,634945,4321212
1189,Area 7,2011,failed: pred,5/13/2011,5/16/2011,4,0,0,634964,4321253
11143,Owen-Putnam State Forest,2011,FLEDGED,5/11/2011,6/4/2011,4,4,0,512128.6037,4352731.221
1190,Area 7,2011,failed: pred,5/16/2011,6/7/2011,4,0,0,634904,4321651
1191,Area 27,2011,failed: pred,5/22/2011,5/23/2011,2,0,2,640582,4318105
1192,Area 27,2011,FLEDGED,5/16/2011,6/10/2011,3,3,0,640452,4318418
1193,Owen-Putnam State Forest,2011,FLEDGED,5/6/2011,6/1/2011,4,4,0,512514.0314,4352751.346
1194,Owen-Putnam State Forest,2011,failed: unknown,5/15/2011,5/25/2011,4,0,0,512758,4352842
1195,Spring Mill State Park,2011,FLEDGED,5/15/2011,6/8/2011,3,3,1,550038,4286376
1196,Spring Mill State Park,2011,failed: pred,5/15/2011,5/22/2011,2,0,1,549403,4286441
1197,Spring Mill State Park,2011,failed: unknown,5/17/2011,5/17/2011,4,0,0,549722,4286431
1198,Spring Mill State Park,2011,FLEDGED,5/11/2011,6/4/2011,3,4,1,549365,4286371
1199,Area 58,2011,FLEDGED,5/9/2011,6/1/2011,3,1,1,633971,4300650
11100,Area 58,2011,failed: pred,5/16/2011,5/18/2011,2,0,2,634143,4300624
11102,Area 58,2011,failed: pred,5/14/2011,6/3/2011,4,0,1,634152,4300341
11103,McCormick's Creek State Park,2011,failed: pred,5/10/2011,5/19/2011,3,0,3,524743,4350325
11104,McCormick's Creek State Park,2011,failed: pred,5/14/2011,5/20/2011,3,0,1,524548,4350106
11105,McCormick's Creek State Park,2011,failed: pred,5/7/2011,5/28/2011,3,0,0,524742,4350533
11106,East Bogs,2011,failed: pred,5/20/2011,6/6/2011,4,0,0,514283,4293405
11107,East Bogs,2011,FLEDGED,5/20/2011,6/16/2011,4,4,0,513945,4293465
