"","point","utmX","utmY","added","region","plot","propOverlap2011","propOverlap2012_2014"
"1",600,635399.4,4321771.56,0,"BONWR","Area 7",0.722754458,0.722754458
"2",601,635200.16,4321771.56,0,"BONWR","Area 7",0.82174728,0.82174728
"3",602,635000.92,4321769.53,0,"BONWR","Area 7",0.832613095,0.832613095
"4",603,635000.92,4321570.29,0,"BONWR","Area 7",1,1
"5",604,635200.16,4321568.25,0,"BONWR","Area 7",1,1
"6",605,635399.4,4321566.22,0,"BONWR","Area 7",0.901351466,0.901351466
"7",606,635399.4,4321371.05,0,"BONWR","Area 7",0.907672165,0.907672165
"8",607,635200.16,4321369.01,0,"BONWR","Area 7",1,1
"9",608,635000.92,4321373.08,0,"BONWR","Area 7",1,1
"10",609,635000.92,4321167.74,0,"BONWR","Area 7",1,1
"11",610,635200.16,4321169.77,0,"BONWR","Area 7",1,1
"12",611,635399.4,4321167.74,0,"BONWR","Area 7",0.914128595,0.914128595
"13",612,635399.4,4320972.57,0,"BONWR","Area 7",0.856652702,0.856652702
"14",613,635200.16,4320972.57,0,"BONWR","Area 7",0.919620734,0.919620734
"15",614,635000.92,4320968.5,0,"BONWR","Area 7",0.882467068,0.882467068
"16",1230,634824.23,4321665.83,1,"BONWR","Area 7",0.51523776,0.51523776
"17",1231,634823.81,4321465.2,1,"BONWR","Area 7",0.521750828,0.521750828
"18",1232,634819.43,4321269.46,1,"BONWR","Area 7",0.502832755,0.502832755
"19",1233,634819.05,4321066.36,1,"BONWR","Area 7",0.509716883,0.509716883
"20",615,640200.37,4318400.61,0,"BONWR","Area 27",0.913699845,0.913699845
"21",616,640400.45,4318400.61,0,"BONWR","Area 27",0.911348391,0.911348391
"22",617,640600.54,4318400.61,0,"BONWR","Area 27",0.836757832,0.836757832
"23",618,640600.54,4318200.53,0,"BONWR","Area 27",0.989162843,0.989162843
"24",619,640400.45,4318200.53,0,"BONWR","Area 27",1,1
"25",620,640200.37,4318200.53,0,"BONWR","Area 27",1,1
"26",621,640200.37,4318000.45,0,"BONWR","Area 27",0.999888797,0.999888797
"27",622,640400.45,4318000.45,0,"BONWR","Area 27",1,1
"28",623,640600.54,4318000.45,0,"BONWR","Area 27",1,1
"29",624,641200.78,4318162.58,0,"BONWR","Area 27",0.77251597,0.77251597
"30",625,641000.7,4318162.58,0,"BONWR","Area 27",0.890937316,0.890937316
"31",626,640800.62,4318166.03,0,"BONWR","Area 27",0.896373586,0.896373586
"32",627,640800.62,4317969.4,0,"BONWR","Area 27",1,1
"33",628,641000.7,4317971.12,0,"BONWR","Area 27",1,1
"34",643,641200.78,4317964.22,0,"BONWR","Area 27",0.912438427,0.912438427
"35",629,640799.82,4310956.64,0,"BONWR","Area 41",0.843690305,0.843690305
"36",630,641001.07,4310958.9,0,"BONWR","Area 41",0.851706741,0.851706741
"37",631,641200.06,4310958.9,0,"BONWR","Area 41",0.847884953,0.847884953
"38",632,640799.82,4310768.95,0,"BONWR","Area 41",0.980437797,0.980437797
"39",633,641001.07,4310766.69,0,"BONWR","Area 41",1,1
"40",634,641200.06,4310762.17,0,"BONWR","Area 41",1,1
