"","unique.ID","birds","plot"
"1","137-2013-169",0,"Spring Mill State Park"
"2","137-2011-168",4,"Spring Mill State Park"
"3","137-2011-152",1,"Spring Mill State Park"
"4","137-2014-165",2,"Spring Mill State Park"
"5","137-2012-155",2,"Spring Mill State Park"
"6","137-2014-176",1,"Spring Mill State Park"
"7","137-2012-187",2,"Spring Mill State Park"
"8","137-2012-171",2,"Spring Mill State Park"
"9","137-2013-188",1,"Spring Mill State Park"
"10","137-2011-187",2,"Spring Mill State Park"
"11","137-2014-177",2,"Spring Mill State Park"
"12","137-2014-193",1,"Spring Mill State Park"
"13","137-2013-153",0,"Spring Mill State Park"
"14","138-2011-152",3,"Spring Mill State Park"
"15","138-2012-171",3,"Spring Mill State Park"
"16","138-2013-188",2,"Spring Mill State Park"
"17","138-2014-176",4,"Spring Mill State Park"
"18","138-2014-193",5,"Spring Mill State Park"
"19","138-2012-187",3,"Spring Mill State Park"
"20","138-2012-155",2,"Spring Mill State Park"
"21","138-2013-153",0,"Spring Mill State Park"
"22","138-2014-165",2,"Spring Mill State Park"
"23","138-2014-177",5,"Spring Mill State Park"
"24","138-2011-168",2,"Spring Mill State Park"
"25","138-2013-169",1,"Spring Mill State Park"
"26","138-2011-187",3,"Spring Mill State Park"
"27","139-2014-193",2,"Spring Mill State Park"
"28","139-2012-171",4,"Spring Mill State Park"
"29","139-2012-155",3,"Spring Mill State Park"
"30","139-2014-165",2,"Spring Mill State Park"
"31","139-2014-176",2,"Spring Mill State Park"
"32","139-2014-177",2,"Spring Mill State Park"
"33","139-2011-187",4,"Spring Mill State Park"
"34","139-2013-153",1,"Spring Mill State Park"
"35","139-2011-168",2,"Spring Mill State Park"
"36","139-2012-187",3,"Spring Mill State Park"
"37","139-2013-169",1,"Spring Mill State Park"
"38","139-2013-188",3,"Spring Mill State Park"
"39","139-2011-152",1,"Spring Mill State Park"
"40","140-2014-193",1,"Spring Mill State Park"
"41","140-2011-152",3,"Spring Mill State Park"
"42","140-2014-177",2,"Spring Mill State Park"
"43","140-2014-165",1,"Spring Mill State Park"
"44","140-2013-169",2,"Spring Mill State Park"
"45","140-2012-155",2,"Spring Mill State Park"
"46","140-2012-171",2,"Spring Mill State Park"
"47","140-2011-185",5,"Spring Mill State Park"
"48","140-2011-168",2,"Spring Mill State Park"
"49","140-2012-187",2,"Spring Mill State Park"
"50","140-2013-153",2,"Spring Mill State Park"
"51","140-2013-188",2,"Spring Mill State Park"
"52","140-2014-176",3,"Spring Mill State Park"
"53","141-2011-185",2,"Spring Mill State Park"
"54","141-2012-187",2,"Spring Mill State Park"
"55","141-2014-176",3,"Spring Mill State Park"
"56","141-2013-188",3,"Spring Mill State Park"
"57","141-2014-165",2,"Spring Mill State Park"
"58","141-2013-169",2,"Spring Mill State Park"
"59","141-2014-177",2,"Spring Mill State Park"
"60","141-2011-152",2,"Spring Mill State Park"
"61","141-2012-171",1,"Spring Mill State Park"
"62","141-2012-155",2,"Spring Mill State Park"
"63","141-2014-193",4,"Spring Mill State Park"
"64","141-2013-153",3,"Spring Mill State Park"
"65","141-2011-168",4,"Spring Mill State Park"
"66","142-2014-176",1,"Spring Mill State Park"
"67","142-2011-152",3,"Spring Mill State Park"
"68","142-2012-187",2,"Spring Mill State Park"
"69","142-2012-155",1,"Spring Mill State Park"
"70","142-2012-171",1,"Spring Mill State Park"
"71","142-2013-153",1,"Spring Mill State Park"
"72","142-2011-168",3,"Spring Mill State Park"
"73","142-2011-185",1,"Spring Mill State Park"
"74","142-2014-193",1,"Spring Mill State Park"
"75","142-2014-165",2,"Spring Mill State Park"
"76","142-2013-169",1,"Spring Mill State Park"
"77","142-2014-177",4,"Spring Mill State Park"
"78","142-2013-188",4,"Spring Mill State Park"
"79","143-2011-152",1,"Spring Mill State Park"
"80","143-2013-188",4,"Spring Mill State Park"
"81","143-2012-155",1,"Spring Mill State Park"
"82","143-2014-177",2,"Spring Mill State Park"
"83","143-2012-171",3,"Spring Mill State Park"
"84","143-2013-153",3,"Spring Mill State Park"
"85","143-2011-168",2,"Spring Mill State Park"
"86","143-2012-187",2,"Spring Mill State Park"
"87","143-2014-176",3,"Spring Mill State Park"
"88","143-2011-187",3,"Spring Mill State Park"
"89","143-2013-169",2,"Spring Mill State Park"
"90","143-2014-193",1,"Spring Mill State Park"
"91","143-2014-165",2,"Spring Mill State Park"
"92","144-2014-165",3,"Spring Mill State Park"
"93","144-2013-169",1,"Spring Mill State Park"
"94","144-2011-152",2,"Spring Mill State Park"
"95","144-2012-155",2,"Spring Mill State Park"
"96","144-2012-187",3,"Spring Mill State Park"
"97","144-2011-168",2,"Spring Mill State Park"
"98","144-2011-187",2,"Spring Mill State Park"
"99","144-2014-177",4,"Spring Mill State Park"
"100","144-2012-171",3,"Spring Mill State Park"
"101","144-2014-176",2,"Spring Mill State Park"
"102","144-2013-188",2,"Spring Mill State Park"
"103","144-2013-153",3,"Spring Mill State Park"
"104","144-2014-193",5,"Spring Mill State Park"
"105","145-2012-187",2,"Spring Mill State Park"
"106","145-2013-188",2,"Spring Mill State Park"
"107","145-2011-187",2,"Spring Mill State Park"
"108","145-2014-176",3,"Spring Mill State Park"
"109","145-2013-169",1,"Spring Mill State Park"
"110","145-2011-168",2,"Spring Mill State Park"
"111","145-2014-165",3,"Spring Mill State Park"
"112","145-2014-177",4,"Spring Mill State Park"
"113","145-2014-193",3,"Spring Mill State Park"
"114","145-2012-155",1,"Spring Mill State Park"
"115","145-2013-153",1,"Spring Mill State Park"
"116","145-2012-171",2,"Spring Mill State Park"
"117","145-2011-152",3,"Spring Mill State Park"
"118","146-2011-152",1,"Spring Mill State Park"
"119","146-2013-188",0,"Spring Mill State Park"
"120","146-2012-155",2,"Spring Mill State Park"
"121","146-2013-153",0,"Spring Mill State Park"
"122","146-2014-176",6,"Spring Mill State Park"
"123","146-2014-165",1,"Spring Mill State Park"
"124","146-2013-169",0,"Spring Mill State Park"
"125","146-2011-187",1,"Spring Mill State Park"
"126","146-2012-187",2,"Spring Mill State Park"
"127","146-2011-168",1,"Spring Mill State Park"
"128","146-2014-193",4,"Spring Mill State Park"
"129","146-2012-171",3,"Spring Mill State Park"
"130","146-2014-177",5,"Spring Mill State Park"
"131","147-2014-176",3,"Spring Mill State Park"
"132","147-2012-187",1,"Spring Mill State Park"
"133","147-2012-155",1,"Spring Mill State Park"
"134","147-2011-185",3,"Spring Mill State Park"
"135","147-2013-169",2,"Spring Mill State Park"
"136","147-2014-193",4,"Spring Mill State Park"
"137","147-2014-177",2,"Spring Mill State Park"
