"","X.1","X","point","date","year","observer","time","temp","wind","cloud","julian"
"1",226,489,1201,"2014-06-09",2014,"EVC",485,67,2,100,160
"2",227,493,1201,"2012-06-18",2012,"AEB",486,78,1,20,170
"3",228,496,1201,"2012-05-31",2012,"CLL",443,57,1,0,152
"4",229,498,1201,"2014-06-28",2014,"JJV",446,74,0,100,179
"5",230,500,1201,"2014-07-15",2014,"JJV",463,59,1,10,196
"6",231,504,1201,"2013-07-07",2013,"VMJ",549,68,0,90,188
"7",232,506,1201,"2013-06-18",2013,"CLL",368,73,0,100,169
"8",233,508,1201,"2014-06-26",2014,"MAV",441,65,1,30,177
"9",234,510,1201,"2013-06-02",2013,"ROS",534,70,1,0,153
"10",235,513,1201,"2012-06-30",2012,"JJV",409,78,1,0,182
"11",236,516,1202,"2014-06-09",2014,"EVC",461,67,2,100,160
"12",237,519,1202,"2014-06-28",2014,"EVC",419,70,0,100,179
"13",238,522,1202,"2014-07-15",2014,"EVC",436,60,1,10,196
"14",239,527,1202,"2012-06-18",2012,"AEB",514,80,2,20,170
"15",240,531,1202,"2012-05-31",2012,"CLL",423,57,1,0,152
"16",241,534,1202,"2013-07-07",2013,"VMJ",531,68,1,80,188
"17",242,538,1202,"2014-06-26",2014,"MAV",472,66,0,30,177
"18",243,539,1202,"2013-06-18",2013,"ROS",359,68,0,100,169
"19",244,540,1202,"2012-06-30",2012,"JJV",387,76,1,0,182
"20",245,544,1202,"2013-06-02",2013,"SJW",587,75,2,10,153
"21",246,548,1203,"2014-06-09",2014,"EVC",433,67,2,100,160
"22",247,552,1203,"2014-06-28",2014,"EVC",396,70,0,100,179
"23",248,555,1203,"2014-07-15",2014,"EVC",414,60,1,20,196
"24",249,559,1203,"2012-06-18",2012,"AEB",535,83,2,10,170
"25",250,563,1203,"2012-05-31",2012,"CLL",396,55,0,0,152
"26",251,567,1203,"2013-07-07",2013,"VMJ",480,68,0,90,188
"27",252,572,1203,"2014-06-26",2014,"MAV",492,66,0,20,177
"28",253,574,1203,"2013-06-18",2013,"ROS",469,69,0,90,169
"29",254,577,1203,"2012-06-30",2012,"JJV",553,82,2,0,182
"30",255,581,1203,"2013-06-02",2013,"SJW",496,72,1,0,153
"31",256,583,1204,"2014-06-09",2014,"EVC",407,65,2,90,160
"32",257,586,1204,"2014-06-28",2014,"EVC",377,72,1,100,179
"33",258,590,1204,"2014-07-15",2014,"EVC",393,60,1,10,196
"34",259,595,1204,"2012-06-18",2012,"AEB",557,85,2,0,170
"35",260,598,1204,"2012-05-31",2012,"CLL",374,55,1,0,152
"36",261,600,1204,"2013-07-07",2013,"VMJ",381,68,0,100,188
"37",262,604,1204,"2014-06-26",2014,"MAV",518,69,0,10,177
"38",263,606,1204,"2013-06-18",2013,"ROS",547,69,1,80,169
"39",264,610,1204,"2012-06-30",2012,"JJV",529,81,3,0,182
"40",265,614,1204,"2013-06-02",2013,"SJW",469,70,1,10,153
"41",266,617,1205,"2014-06-09",2014,"EVC",385,65,2,80,160
"42",267,618,1205,"2014-06-28",2014,"EVC",358,73,1,100,179
"43",268,619,1205,"2014-07-15",2014,"EVC",373,60,2,0,196
"44",269,620,1205,"2013-07-07",2013,"VMJ",501,68,1,60,188
"45",270,621,1205,"2014-06-26",2014,"MAV",536,70,1,20,177
"46",271,622,1205,"2012-05-31",2012,"JDS",567,66,3,30,152
"47",272,623,1205,"2013-06-18",2013,"ROS",530,69,0,80,169
"48",273,624,1205,"2012-06-16",2012,"JJV",372,65,1,30,168
"49",274,625,1205,"2012-06-30",2012,"MAV",523,82,3,0,182
"50",275,626,1205,"2013-06-02",2013,"SJW",381,65,1,70,153
"51",276,627,1206,"2014-06-03",2014,"EVC",566,75,1,100,154
"52",277,628,1206,"2014-06-19",2014,"EVC",525,74,2,10,170
"53",278,631,1206,"2014-07-04",2014,"EVC",535,62,1,10,185
"54",279,635,1206,"2014-06-18",2014,"JDS",406,69,1,20,169
"55",280,639,1206,"2012-06-20",2012,"CLL",582,76,1,0,172
"56",281,641,1206,"2013-07-05",2013,"CLL",381,68,0,70,186
"57",282,644,1206,"2012-07-02",2012,"BSS",500,76,1,60,184
"58",283,647,1206,"2013-06-19",2013,"ROS",410,64,0,90,170
"59",284,650,1206,"2012-06-04",2012,"CPW",377,62,0,50,156
"60",285,651,1206,"2013-06-03",2013,"SJW",587,70,1,90,154
"61",286,652,1207,"2014-06-03",2014,"EVC",590,72,1,100,154
"62",287,656,1207,"2014-06-19",2014,"EVC",504,73,1,10,170
"63",288,658,1207,"2014-07-04",2014,"EVC",515,60,1,0,185
"64",289,659,1207,"2014-06-18",2014,"JDS",386,69,1,20,169
"65",290,662,1207,"2013-07-05",2013,"LMG",386,69,0,100,186
"66",291,663,1207,"2012-06-20",2012,"CLL",560,75,1,0,172
"67",292,665,1207,"2012-07-02",2012,"BSS",483,76,1,70,184
"68",293,669,1207,"2013-06-19",2013,"ROS",429,65,0,80,170
"69",294,672,1207,"2012-06-04",2012,"CPW",402,62,0,30,156
"70",295,673,1207,"2013-06-03",2013,"SJW",557,70,1,90,154
"71",296,675,1208,"2014-06-03",2014,"EVC",406,73,1,100,154
"72",297,678,1208,"2014-06-19",2014,"EVC",478,74,1,10,170
"73",298,679,1208,"2014-07-04",2014,"EVC",490,60,1,10,185
"74",299,682,1208,"2014-06-18",2014,"JDS",539,76,3,20,169
"75",300,684,1208,"2013-07-05",2013,"LMG",408,73,0,100,186
"76",301,686,1208,"2012-06-20",2012,"CLL",531,74,0,0,172
"77",302,687,1208,"2012-07-02",2012,"BSS",460,76,1,70,184
"78",303,688,1208,"2013-06-19",2013,"ROS",462,65,1,10,170
"79",304,691,1208,"2012-06-04",2012,"CPW",431,64,0,30,156
"80",305,692,1208,"2013-06-03",2013,"SJW",523,70,0,90,154
"81",306,694,1209,"2014-06-03",2014,"EVC",427,73,2,100,154
"82",307,698,1209,"2014-06-19",2014,"EVC",456,72,2,10,170
"83",308,700,1209,"2014-07-04",2014,"EVC",469,58,1,10,185
"84",309,703,1209,"2014-06-18",2014,"JDS",520,75,3,10,169
"85",310,707,1209,"2013-07-05",2013,"LMG",425,75,0,100,186
"86",311,709,1209,"2012-06-20",2012,"CLL",483,73,1,0,172
"87",312,711,1209,"2012-07-02",2012,"BSS",425,75,2,70,184
"88",313,713,1209,"2013-06-19",2013,"ROS",482,65,4,10,170
"89",314,715,1209,"2012-06-04",2012,"CPW",474,66,0,50,156
"90",315,717,1209,"2013-06-03",2013,"SJW",500,70,0,20,154
"91",325,739,1210,"2013-06-03",2013,"RRG",506,59,0,100,154
