"","year","plot","hectares","pcPoints","surveys","pcDetections","detsPerSurvey","nestsActive","successfulNests","fledglings","fledglingsPerNest","fledglingsPerSuccessfulNest"
"1",2011,"Area 27",58.96,15,45,69,1.53333333333333,18,12,33,1.83333333333333,2.75
"2",2011,"Area 41",58.27,14,42,26,0.619047619047619,2,1,3,1.5,3
"3",2011,"Area 58",55.88,15,45,71,1.57777777777778,13,7,16,1.23076923076923,2.28571428571429
"4",2011,"Area 7",60.08,15,45,73,1.62222222222222,22,8,19,0.863636363636364,2.375
"5",2011,"East Bogs",63.03,19,57,44,0.771929824561403,13,8,23,1.76923076923077,2.875
"6",2011,"First Creek",40.83,8,24,25,1.04166666666667,9,5,10,1.11111111111111,2
"7",2011,"Martin State Forest",37.44,12,36,49,1.36111111111111,9,5,10,1.11111111111111,2
"8",2011,"McCormick's Creek State Park",55.7,12,36,101,2.80555555555556,19,8,17,0.894736842105263,2.125
"9",2011,"Owen-Putnam State Forest",50.75,12,36,68,1.88888888888889,20,7,18,0.9,2.57142857142857
"10",2011,"Seed Tick",41.56,15,45,20,0.444444444444444,1,0,0,0,NA
"11",2011,"Spring Mill State Park",45.84,15,45,68,1.51111111111111,10,4,8,0.8,2
"12",2011,"Sulphur Creek",43.33,12,36,29,0.805555555555556,15,7,17,1.13333333333333,2.42857142857143
"13",2012,"Area 27",58.96,15,45,89,1.97777777777778,35,15,42,1.2,2.8
"14",2012,"Area 41",58.27,15,45,51,1.13333333333333,9,5,11,1.22222222222222,2.2
"15",2012,"Area 58",55.88,15,45,56,1.24444444444444,13,5,12,0.923076923076923,2.4
"16",2012,"Area 7",60.08,19,57,97,1.70175438596491,25,10,30,1.2,3
"17",2012,"East Bogs",63.03,19,57,25,0.43859649122807,8,2,3,0.375,1.5
"18",2012,"First Creek",40.83,8,24,11,0.458333333333333,3,1,4,1.33333333333333,4
"19",2012,"Martin State Forest",55.48,17,51,46,0.901960784313726,11,4,11,1,2.75
"20",2012,"McCormick's Creek State Park",55.7,15,45,87,1.93333333333333,20,12,23,1.15,1.91666666666667
"21",2012,"Owen-Putnam State Forest",50.75,15,45,65,1.44444444444444,27,7,15,0.555555555555556,2.14285714285714
"22",2012,"Seed Tick",91.88,28,84,58,0.69047619047619,7,3,7,1,2.33333333333333
"23",2012,"Spring Mill State Park",60.76,15,45,57,1.26666666666667,28,9,20,0.714285714285714,2.22222222222222
"24",2012,"Sulphur Creek",43.33,12,36,29,0.805555555555556,13,5,12,0.923076923076923,2.4
"25",2013,"Area 27",58.96,15,45,68,1.51111111111111,58,26,76,1.31034482758621,2.92307692307692
"26",2013,"Area 41",58.27,15,45,36,0.8,19,8,25,1.31578947368421,3.125
"27",2013,"Area 58",55.88,15,45,51,1.13333333333333,19,7,18,0.947368421052632,2.57142857142857
"28",2013,"Area 7",60.08,19,57,76,1.33333333333333,35,14,38,1.08571428571429,2.71428571428571
"29",2013,"East Bogs",63.03,19,57,33,0.578947368421053,14,6,14,1,2.33333333333333
"30",2013,"First Creek",40.83,8,24,6,0.25,4,2,5,1.25,2.5
"31",2013,"Martin State Forest",55.48,17,51,38,0.745098039215686,18,10,21,1.16666666666667,2.1
"32",2013,"McCormick's Creek State Park",55.7,15,45,87,1.93333333333333,40,23,58,1.45,2.52173913043478
"33",2013,"Owen-Putnam State Forest",50.75,15,45,55,1.22222222222222,29,11,34,1.17241379310345,3.09090909090909
"34",2013,"Seed Tick",91.88,28,84,24,0.285714285714286,8,2,4,0.5,2
"35",2013,"Spring Mill State Park",60.76,15,45,44,0.977777777777778,17,9,26,1.52941176470588,2.88888888888889
"36",2013,"Sulphur Creek",43.33,12,36,18,0.5,15,8,21,1.4,2.625
"37",2014,"Area 27",58.96,15,60,105,1.75,61,34,90,1.47540983606557,2.64705882352941
"38",2014,"Area 41",58.27,15,60,94,1.56666666666667,16,10,28,1.75,2.8
"39",2014,"Area 58",55.88,15,60,77,1.28333333333333,37,15,36,0.972972972972973,2.4
"40",2014,"Area 7",60.08,19,76,157,2.06578947368421,43,32,88,2.04651162790698,2.75
"41",2014,"East Bogs",63.03,19,76,53,0.697368421052632,20,6,18,0.9,3
"42",2014,"First Creek",40.83,8,32,13,0.40625,4,4,11,2.75,2.75
"43",2014,"Martin State Forest",55.48,17,68,89,1.30882352941176,25,11,25,1,2.27272727272727
"44",2014,"McCormick's Creek State Park",55.7,15,60,119,1.98333333333333,36,16,36,1,2.25
"45",2014,"Owen-Putnam State Forest",50.75,15,60,85,1.41666666666667,15,4,13,0.866666666666667,3.25
"46",2014,"Seed Tick",91.88,28,112,39,0.348214285714286,13,7,22,1.69230769230769,3.14285714285714
"47",2014,"Spring Mill State Park",60.76,15,60,59,0.983333333333333,16,3,8,0.5,2.66666666666667
"48",2014,"Sulphur Creek",43.33,12,48,24,0.5,20,7,23,1.15,3.28571428571429
